line;display_name;contains;info;morning;afternoon;evening
Minocyclin 50mg zalenka;Zalenka 50mg;Minocyclin 50mg;"Minocyclin là một kháng sinh phổ rộng, dùng đường uống, để điều trị nhiễm trùng gây ra bởi các chủng vi khuẩn nhạy cảm với tetracyclin và một số chủng Staphylococci đề kháng tetracyclin.
Các chỉ định bao gồm: Mụn trứng cá, nhiễm trùng da và mô mềm, nhiễm trùng mắt, viêm phế quản cấp và mãn tính, giãn phế quản, áp xe phổi, nhiễm trùng tai mũi họng, nhiễm trùng vùng chậu, nhiễm trùng đường tiểu, bệnh lậu, viêm niệu đạo và viêm tuyến tiền liệt không do lậu cầu.
Ngoài ra, minocyclin còn được chỉ định để điều trị:
- Giang mai: Minocyclin là liệu pháp điều trị thay thế penicillin ở người lớn, trẻ > 12 tuổi, phụ nữ không mang thai bị dị ứng penicillin.
- Các bệnh do trực khuẩn họ Mycobacteria: Bệnh phong ở người lớn thể nhiều vi khuẩn không dùng được rifampicin do dị ứng hoặc nhiễm vi khuẩn kháng rifampicin, hoặc không dung nạp clofazimin. Bệnh phong ở trẻ em thể ít vi khuẩn đơn tổn thương.
- Bệnh nhiễm trùng da do M. marinum.
- Bệnh tả.
- Nhiễm trùng do các vi khuẩn họ Nocardia.
- Viêm khớp dạng thấp.
- Minocyclin dùng trong điều trị dự phòng ở người lành mang Neisseria meningitidis không có triệu chứng.
- Dùng trước và sau khi phẫu thuật để dự phòng nhiễm trùng.";;;
Clofady;Clofady;Clofady;"Công dụng của ‘Clofady 200mg’
Điều trị chứng tinh trùng yếu, cải thiệt chất lượng tinh trùng  Thể trạng mệt mỏi, người già yếu, chống thoái hóa võng mạc, đục thủy tinh thể và phòng chống cận thị.  Phụ nữ có thai và cho con bú.  Hỗ trợ điều trị vô sinh và các bệnh liên quan đến hiếm muộn (tăng chất lượng tinh trùng và trứng).  Phục hồi sức khỏe trong hoặc sau khi điều trị bệnh.  Bổ sung vitamin và khoáng chất cần thiết cho các bệnh về da, tóc, móng.  Hỗ trợ điều trị trong các trường hợp: Bệnh tim mạch, bệnh thoái hóa thần kinh ở người lớn tuổi (Alzheimer, Pakinson...), ung thư (tăng cường miễn dịch, ngăn ngừa các tổn thương cơ quan do hóa trị và xạ trị gây ra), các bệnh nội khoa mãn tính (suy gan, suy thận, tiểu đường ...)";1;1;1
Heparos;Heparos;Heparos;"Công dụng thuốc Heparos là gì?
Thuốc Heparos được dùng để tăng cường chức năng gan, hỗ trợ điều trị các bệnh do rối loạn và suy giảm chức năng gan như: sạm da, tàn nhang, chàm, nổi mề đay, viêm nhiễm mụn nhọt trứng cá.
Thuốc còn giúp hỗ trợ ngăn ngừa rụng tóc, phòng ngừa các bệnh biểu bì làm dễ gãy móng tay, móng chân, tóc.
";1;1;1
LevoCetirizin 10mg VNBP Trizyn 10;VNBP L-Trizyn 10;LevoCetirizin 10mg;"Điều trị triệu chứng viêm mũi dị ứng, kể cả viêm mũi dị ứng theo mùa
và mày đay tự phát mạn tính.
 Người lớn và trẻ em từ 12 tuổi: Trường hợp viêm mũi dị ứng kéo dài, viêm mũi dị ứng theo mùa và mày đay tự phát mạn tính: Dùng liều 10mg (1 viên)/ một lần mỗi ngày. Bệnh nhân bị suy thận (độ thanh thải creatinine từ 11 - 31ml/phút), bệnh nhân thẩm tách máu và bệnh nhân suy gan: Dùng liều 5mg (V2 viên)/một lần mỗi ngày. Không dùng quá liều chỉ định.";1;1;1
esomeprazole 40mg nexium mups;Nexium mups 40mg;esomeprazole 40mg;"Người lớn:
Viên nén NEXIUM MUPS được chỉ định cho các trường hợp:
Bệnh trào ngược dạ dày - thực quản (GERD)
- Điều trị viêm xước thực quản do trào ngược.
- Điều trị dài hạn cho bệnh nhân viêm thực quản đã chữa lành để phòng ngừa tái phát.
- Điều trị triệu chứng bệnh trào ngược dạ dày - thực quản (GERD).
Kết hợp với một phác đồ kháng khuẩn thích hợp để diệt trừ Helicobacter pylori và
- Chữa lành loét tá tràng có nhiễm Helicobacter pylori.
- Phòng ngừa tái phát loét dạ dày - tá tràng ở bệnh nhân loét có nhiễm Helicobacter pylori.
Bệnh nhân cần điều trị bằng thuốc kháng viêm không steroid (NSAID) liên tục
- Chữa lành loét dạ dày do dùng thuốc NSAID.
- Phòng ngừa loét dạ dày và loét tá tràng do dùng thuốc NSAID ở bệnh nhân có nguy cơ.
Điều trị kéo dài sau khi đã điều trị phòng ngừa tái xuất huyết do loét dạ dày tá tràng bằng đường tĩnh mạch.
Điều trị hội chứng Zollinger Ellison.
Trẻ vị thành niên từ 12 tuổi trở lên
Bệnh trào ngược dạ dày - thực quản (GERD)
- Điều trị viêm xước thực quản do trào ngược.
- Điều trị dài hạn cho bệnh nhân viêm thực quản đã chữa lành để phòng ngừa tái phát.
- Điều trị triệu chứng bệnh trào ngược dạ dày - thực quản (GERD).
Kết hợp với kháng sinh trong điều trị loét tá tràng do Helicobacter pylori.";1;1;1
clarithromycin 500mg clatab;clatab 500mg ;clarithromycin 500mg;"Chỉ định:
- Viêm amiđan, viêm tai giữa, viêm xoang cấp, viêm phế quản mạn có đợt cấp, da & mô mềm. 
- Viêm phổi do Mycoplasma pneumoniae & Legionella, bạch hầu, giai đoạn đầu của ho gà, nhiễm khuẩn cơ hội do Mycobacterium. 
- Phối hợp để tiệt trừ Helicobacter pylori trong loét dạ dày tá tràng.

Liều lượng - Cách dùng
* Người lớn: Liều thường dùng là 250 mg x mỗi ngày 2 lần trong 7 ngày, hoặc 500 mg dạng phóng thích có điều chỉnh 1 lần/ngày. 

Trong những trường hợp nhiễm trùng nặng có thể tăng đến 500 mg mỗi ngày 2 lần, hoặc 1000 mg dạng phóng thích có điều chỉnh 1 lần/ngày và kéo dài đến 14 ngày.

*Trẻ em trên 12 tuổi: Sử dụng như người lớn.

* Trẻ em dưới 12 tuổi: Sử dụng thuốc dạng nhũ tương dành cho bệnh nhi:

Liều hàng ngày đối với trẻ em là 7,5 mg/kg, mỗi ngày uống 2 lần cho tới liều tối đa 500 mg. Thời gian điều trị thường là 7-10 ngày tùy theo chủng gây bệnh và bệnh nặng hay nhẹ. Điều trị viêm họng do liên cầu khuẩn phải ít nhất 10 ngày. Huyền dịch đã chuẩn bị có thể dùng kèm hoặc không kèm với bữa ăn, và uống cùng với sữa.

* Diệt trừ H. pylori ở những bệnh nhân loét tá tràng:

- Người lớn: Liều clarithromycin thường dùng là 500 mg mỗi ngày 2 lần trong 7 ngày. Thuốc nên được sử dụng kèm với omeprazole 40 mg uống 2 lần mỗi ngày.

*Người già: Sử dụng như người lớn.

*Suy thận:Thường không cần điều chỉnh liều trừ khi bệnh nhân suy thận nặng (độ thanh thải creatinine dưới 30ml/phút). Nếu cần chỉnh liều nên giảm một nửa tổng liều mỗi ngày, thí dụ 250 mg mỗi ngày 1 lần hoặc 250 mg mỗi ngày 2 lần trong trường hợp nặng.";1;1;1
amoxicillin 500mg ospamox;ospamox 500mg;amoxicillin 500mg ;"Công dụng
 Ðiều trị các nhiễm khuẩn do các vi khuẩn nhạy cảm với thuốc tại các vị trí sau: - Ðường hô hấp trên (bao gồm cả Tai Mũi Họng) như: viêm amiđan, viêm xoang, viêm tai giữa; - Ðường hô hấp dưới, như đợt cấp của viêm phế quản mãn, viêm phổi thùy và viêm phổi phế quản; - Ðường tiêu hóa: như sốt thương hàn; - Ðường niệu - sinh dục: như viêm thận - bể thận, lậu, sảy thai nhiễm khuẩn hay nhiễm khuẩn sản khoa. Các nhiễm khuẩn như nhiễm khuẩn huyết, viêm nội tâm mạc và viêm màng não do vi khuẩn nhạy cảm với thuốc nên được điều trị khởi đầu theo đường tiêm với liều cao và, nếu có thể, kết hợp với một kháng sinh khác. - Dự phòng viêm nội tâm mạc: Amoxicillin có thể được sử dụng để ngăn ngừa du khuẩn huyết có thể phát triển viêm nội tâm mạc. Tham khảo thông tin kê toa đầy đủ về các vi khuẩn nhạy cảm.  Liều dùng Tùy theo đường sử dụng, tuổi tác, thể trọng và tình trạng chức năng thận của bệnh nhân, cũng như mức độ trầm trọng của nhiễm khuẩn và tính nhạy cảm của vi khuẩn gây bệnh. Người lớn và trẻ em trên 40kg: Tổng liều hàng ngày là 750mg đến 3g, chia làm nhiều lần; Trẻ em dưới 40kg: 20-50mg/kg/ngày, chia làm nhiều lần. Nên dùng dạng Amoxicillin Hỗn Dịch Nhỏ Giọt Trẻ Em cho trẻ dưới 6 tháng tuổi.";1;1;1
sucrafate 1000mg sucramed;sucramed 1000mg;sucrafate 1000mg ;"Chỉ Định Điều Trị:
Điều trị loét dạ dày, tá tràng lành tính, viêm dạ dày mãn tính
Phòng tái phát loét dạ dày, tá tràng
Điều trị chứng trào ngược dạ dày - thực quản
Liều Lượng Và Cách Dùng:
      Liều lượng: 
Liều thông thường cho người lớn là 1 gói, 2 lần mỗi ngày, uống lúc đói, 1 giờ trước bữa ăn hay buổi sáng sớm và trước khi đi ngủ. Dùng thuốc tới khi vết loét lành hẳn, thường là từ 4 đến 8 tuần.
Phòng ngừa loét tái phát: Giảm liều còn 1 gói mỗi ngày vào buổi tối.Dùng duy trì kéo dài 3 tháng và tối đa không quá 6 tháng.
Nói chung các trường hợp nặng có thể tăng liều lên 4 gói mỗi ngày hoặc hơn nhưng tối đa không quá 8 gói mỗi ngày.
Cách Dùng: Pha gói thuốc trong một ly nước trước khi uống. Nên uống thuốc vào lúc đói bụng, không dùng chung với thức ăn.
Cảnh Báo Và Thận Trọng Khi Sử Dụng:
Thận trọng khi dùng cho người suy thận, do nguy cơ tăng nồng độ Nhôm trong huyết thanh, nhất là khi dùng dài hạn.
Dùng thận trọng trong các trường hợp có rối loạn chuyển hóa Phospho
Tính an toàn và hiệu quả khi dùng cho trẻ em chưa được thiết lập.
Khi điều trị bằng Sucralfat các vết loét có thể lành trong một hoặc hai tuần đầu, nhưng cần điều trị tiếp trong 4- 8 tuần đến khi kiểm tra bằng nội soi hay X quang cho thấy đã lành hẳn.
Tương Tác Với Các Thuốc Khác Và Các Dạng Tương Tác Khác:
Các thuốc Antacid có thể ảnh hưởng sự gắn kết của Sucralfat trên niêm mạc dạ dày. Khi dùng kết hợp nên dùng cách xa 30 phút.
Sucralfat có thể làm giảm hấp thu một số thuốc dùng chung như Cimetidin, Ranitidin, Digoxin, Ketoconazol, Phenytoin, Fluoroquinolon kháng khuẩn, Tetracylin, Quinidin, Theophylin, Thyroxin và Warfarin. Nên dùng các thuốc trên ít nhất 2 giờ trước hoặc sau khi dùng Sucralfat.";1;1;1
Meloxicam 7,5mg meloxicam;Meloxicam 7,5mg meloxicam;Meloxicam 7,5mg ;"Chỉ định Meloxicam
Điều trị đau và viêm trong bệnh khớp dạng thấp; đợt cấp bệnh thoái hoá xương hớp; viêm cột sống dính khớp (thời gian ngắn).
Chống chỉ định Meloxicam
Mẫn cảm với thuốc, người có tiền sử dị ứng với aspirin hoặc các thuốc chống viêm không steroid khác. Không được dùng meloxicam cho những người có triệu chứng hen phế quản, polyp mũi, phù mạch thần kinh hoặc bị phù Quincke. Loét dạ dày tá tràng tiến triển.
Chảy máu dạ dày, chảy máu não. Không dùng dạng thuốc đặt trực tràng cho người có tiền sử viêm trực tràng hoặc chảy máu trực tràng. Suy tim nặng, suy thận nặng (loại trừ thẩm tách máu).
Thận trọng Meloxicam
Có tiền sử loét dạ dày – tá tràng, đang dùng thuốc chống đông máu vì thuốc có thể gây loét dạ dày tá tràng, gây chảy máu. Phải ngừng thuốc ngay nếu có biểu hiện bất thường trên da, niêm mạc hoặc có dấu hiệu loét hay chảy máu đường tiêu hoá. Không dùng meloxicam khi đang tham gia các hoạt động lái tàu xe, vận hành máy; thời kỳ mang thai (Phụ lục 2); thời kỳ cho con bú (Phụ lục 3); bệnh thận (Phụ lục 4); bệnh gan (Phụ lục 5).
Liều lượng và cách dùng Meloxicam
Cách dùng: Thuốc có thể uống, tiêm bắp, đặt trực tràng, ngày 1 lần.
Dạng viên được chỉ định dùng dài ngày trong bệnh thoái hoá khớp, viêm cột sống dính khớp và các bệnh khớp mạn tính khác.
Dạng tiêm được sử dụng ngắn ngày trong những đợt đau cấp do bệnh thấp khớp mạn tính.
Uống meloxicam trong khi ăn hoặc dùng kèm với thuốc kháng acid và bảo vệ niêm mạc dạ dày; nhưng phải uống các thuốc này cách xa lúc uống meloxicam.
Tiêm bắp sâu vào phần tư trên của mông, trước khi bơm thuốc phải hút xem có máu không (tránh tiêm vào mạch máu). Nếu người bệnh kêu đau nhiều lúc tiêm, phải ngừng ngay).
Meloxicam nên dùng với liều thấp nhất có tác dụng trong thời gian ngắn nhất.
Người lớn
Thoái hoá xương khớp: 7,5 mg/lần/ngày; nếu cần có thể tăng lên, không vượt quá liều tối đa 15 mg/ngày.
Viêm khớp dạng thấp, viêm cột sống dính khớp: 15 mg/lần/ngày, có thể giảm xuống7,5 mg/ ngày.
Đợt đau cấp của thoái hoá khớp: 7,5 mg/lần/ngày; khi cần có thể tăng tới 15 mg/lần/ngày.
Nếu dùng thuốc tiêm, tiêm bắp, không được vượt quá liều 15 mg/ngày.
Đối với người có nguy cơ cao tai biến phụ, liều khởi đầu là 7,5 mg/ngày.
Thời gian điều trị 2 – 3 ngày (thời gian này cho phép, nếu cần sau đó chuyển sang đường uống hoặc trực tràng).
Người cao tuổi: Liều dùng khuyến cáo 7,5 mg/lần/ngày.
Suy gan, suy thận: Nhẹ và vừa, không cần phải điều chỉnh liều; suy thận chạy thận nhân tạo: liều không được vượt quá 7,5 mg/ngày.
Trẻ em dưới 15 tuổi: Không khuyến cáo dùng.
Tác dụng không mong muốn Meloxicam
Tác dụng không mong muốn thường gặp như rối loạn tiêu hoá, buồn nôn, nôn, đau bụng, táo bón, trướng bụng, tiêu chảy; thiếu máu; ngứa, phát ban trên da; đau đầu, phù. Ít gặp trường hợp tăng nhẹ transaminase, bilirubin, ợ hơi, viêm thực quản, loét dạ dày – tá tràng, chảy máu đường tiêu hoá tiềm tàng; giảm bạch cầu, giảm tiểu cầu; viêm miệng, mày đay; tăng huyết áp, đánh trống ngực, đỏ bừng mặt; tăng nồng độ creatinin và urê máu, đau tại chỗ tiêm; chóng mặt, ù tai và buồn ngủ.
Quá liều và xử trí Meloxicam
Hiện nay chưa có thuốc đối kháng đặc hiệu meloxi-cam; điều trị triệu chứng, hồi sức; sử dụng biện pháp tăng thải trừ và giảm hấp thu thuốc như: rửa dạ dày, uống cholestyramin";1;1;1
Acepron codein 500mg 30mg;Acepron codein ;"Paracetamol 500mg Codein phosphat hemihydrat 30mg";"Cách sử dụng
Khoảng cách giữa hai lần dùng thuốc từ 4 đến 6 giờ. Trường hợp suy thận (có độ thanh thai Creatinin dưới 10ml/phút). Khoảng cách tối thiểu là 8 giờ. Nếu cơn đau tiếp tục kéo dài quá 5 ngày, không nên tiếp tục điểu trị mà không hỏi ý kiến bác sĩ.
Đối tượng sử dụng
Thuốc Acepron Codein thích hợp cho trẻ em từ 3 tuổi trở lên và  người lớn
Liều dùng
Thuốc được sử dụng với liều dủng khác nhau đối với trẻ em và người lớn
Người lớn và trẻ em trên 15 tuổi: Uống 1- 2 viên mỗi 4- 6 giờ. Không dùng quá 6 viên/24 giờ.
Trẻ cân nặng trên 15 kg (từ 3 tuổi trở lên): Liều của paracetamol chỉ định khoảng 60 mg/kg/ngày, chia làm 4- 6 lần; liều của codein phosphat là khoảng 3 mg/kg/ngày, chỉa làm 4- 6 lần.
Lưu ý đối với người dùng thuốc Acepron Codein
Chống chỉ định
Thuốc chống chỉ định đối với những đối tượng
Quá mẫn với một trong các thành phần của thuốc.
Trẻ em dưới 18 tuổi vừa thực hiện cắt amiđan hoặc thủ thuật nạo V.A. 72
Trẻ có cân nặng dưới 15 kg.
Phụ nữ có thai và cho con bú.
Người bệnh gan nặng, bị hen phế quản, suy hô hấp, bệnh thận, bệnh tim và người bệnh nhiều lần thiếu máu.
Người bệnh thiếu hụt glucose-6-phosphat dehydrogenase.
Tác dụng phụ
Thường gặp:
Bệnh nhân thường gặp phải choáng váng, chóng mặt, an thần, thở ngắn, buồn nôn và nôn. Khác:
Phản ứng dị ứng, sảng khoái, khó chịu, táo bón, đau bụng và ngứa.
Ở liều cao, codein có hầu hết các tác dụng bất lợi của morphin bao gồm cả sự ức chế hô hấp.
Lưu ý khi dùng thuốc
Bác sĩ cần cảnh báo bệnh nhân về các dấu hiệu của phản ứng trên da nghiêm trọng như hội chứng Steven-Jonhson (SJS), hội chứng hoại tử da nhiễm độc (TEN) hay hội chứng Lyell, hội chứng ngoại ban mụn mủ toàn thân cấp tính (AGEP).
Thận trọng khi sử dụng codein cho trê em dưới 12 tuổi (do thông tin nghiên cứu về ảnh hưởng của thuốc cho đối tượng này còn hạn chế).
Thận trọng khi sử dụng thuốc cho phụ nữ cho con bú (do thuốc có thể được bài tiết vào sữa mẹ). Không uống rượu khi dùng thuốc. Người bị suy giảm chức năng gan, thận. Người bị bệnh đường hô hấp như hen, khí phế thũng. Người có tiển sử nghiện thuốc. Không dùng dể giảm ho trong các bệnh nung mủ phổi, ứ đọng phế quản cẩn khạc đờm mủ.
Thời kỳ mang thai: Không dùng cho người mang thai.
Thời kỳ cho con bú: ChÌ dùng khi thật cần thiết. Người lái xe và vận hành máy móc: Thuốc có thể gây ngũ gà. làm giảm sự nhanh lẹ hay tỉnh trí nên cần thận trọng đối với người vận hành máy móc hay lái xe.
Xử lý khi quá liều
Ngưng dùng thuốc khi có bất kỳ một phản ứng dị ứng nào xảy ra.
Nếu xảy ra tình trạng giật cơ, gọi điện cho cấp cứu và đem bệnh nhân đến trạm y tế hoặc bệnh viện gần nhất
Cách xử lý khi quên liều
Thông báo cho bác sỹ hoặc dược sĩ.
Các biểu hiện sau khi dùng thuốc
Thông tin về các biểu hiện sau khi dùng thuốc đang được cập nhật";1;1;1
Lornoxicam 8mg Livorax 8mg;Livorax 8mg;Lornoxicam 8mg ;"Giảm đau tạm thời trong trường hợp đau cấp từ nhẹ đến trung bình. Giảm đau và chống viêm trong viêm xương khớp. Giảm đau và chống viêm trong viêm khớp dạng thấp.  Sử dụng theo đường uống. Nên uống thuốc trước bữa ăn và uống với nhiều nước.
Không khuyến cáo sử dụng viên nén Lornoxicam cho trẻ em dưới 18 tuổi.
Điều trị đau:
8 - 16mg mỗi ngày, chia làm 2 - 3 lần. Tổng liều hàng ngày không nên vượt quá 16mg.
Điều trị viêm khớp dạng thấp và viêm xương khớp:
Liều khởi đầu đề nghị hàng ngày là 12mg, chia làm 2 - 3 lần. Liều duy trì không nên quá 16mg mỗi ngày.
Tránh dùng Lornoxicam cho người suy gan/thận nếu có thể. Nếu phải dùng thì liều tối đa khuyến cáo cho người suy gan/thận là 8mg/ngày.";1;1;1
Nizatidin 150mg mizatin;Mizatin 150mg;Nizatidin 150mg ;"Công dụng (Chỉ định)
Nizatidin dùng trong thời gian 8 tuần để chữa vết loét tá tràng tiến triển. Hầu hết vết loét đều lành trong vòng 4 tuần.
Nizatidin dùng để điều trị duy trì với liều thấp 150 mg hàng ngày lúc đi ngủ tối ở người bệnh có vết loét tá tràng tiến triển đã lành. Việc dùng nizatidin liên tục hơn 1 năm, kết quả hiện nay chưa biết rõ.
Nizatidin được dùng chữa bệnh loét dạ dày lành tính tiến triển thời gian là 8 tuần. Trước khi dùng thuốc, nên cẩn thận loại trừ khả năng bệnh loét dạ dày ác tính.
Nizatidin còn được dùng trong 12 tuần để chữa bệnh viêm thực quản được chẩn đoán qua nội soi, bao gồm cả viêm thực quản do loét và xước, có kèm triệu chứng ợ hơi nóng do trào ngược dạ dày-thực quản. Chứng ợ hơi nóng được cải thiện sau một ngày điều trị.
Thuốc chỉ dùng khi có sự kê đơn của Bác sĩ
 Liều dùng
Loét tá tràng tiến triển: Liều khuyên dùng cho người lớn là 300mg, uống một lần vào buổi tối, hoặc 150mg mỗi lần, uống hai lần trong 24 giờ. Phòng ngừa (liều duy trì phòng ngừa tái phát): Liều khuyên dùng cho người lớn là uống 150mg một lần duy nhất trong 24 giờ, uống vào buối tối.
Loét dạ dày lành tính tiến triển: Liều khuyên dùng cho người lớn là uống 300mg, dùng một lần trước khi đi ngủ tối, hoặc chia làm hai lần trong 24 giờ, mỗi lần 150mg. Trước khi khởi đầu trị liệu, nên cẩn thận loại trừ khả năng loét dạ dày ác tính.
Bệnh trào ngược dạ dày-thực quản: Liều uống cho người lớn để trị các viêm xước niêm mạc, loét dạ dày kèm theo cảm giác ợ hơi nóng là mỗi lần 150 mg, dùng 2 lần trong 24 giờ, hoặc có thể dùng đến 300 mg mỗi lần, 2 lần trong 24 giờ.
Dựa trên các dữ liệu dược động học đối với người bệnh suy thận, nên giảm liều cho một so người bệnh cao tuổi có độ thanh thải creatinin dưới 50mL/phút. Hiệu quả lâm sàng khi giảm liều cho người suy thận chưa được đánh giá. Đối với người bệnh khó nuốt cả viên nang, có thể mở viên nang nizatidin và trộn ngay các thành phần trong viên thuốc vào chất lỏng để uống. Chế phẩm lỏng này được ghi ở bảng sau kèm cách bảo quản thích hợp.
Sự ổn định của nizatidin trong chế phẩm uống pha sẵn để ở tủ lạnh và nhiệt độ phòng";1;1;1
tizanidin hcl 4mg colthimus 4mg;colthimus 4mg;tizanidin hcl 4mg ;"Colthimus 4Mg Hà Tây 10X10 điều trị tình trạng co cơ gây đau do rối loạn chức năng hay tư thế của cột sống: đau thắt lưng, vẹo cổ, đau quanh vai; sau khi mổ (thoát vị đĩa đệm, hay viêm xương khớp háng). Co cứng do rối loạn thần kinh: xơ cứng rải rác, bệnh tủy sống mãn tính, bệnh thoái hóa cột sống, tai biến mạch máu não, chấn thương sọ não hoặc bại não.
  Công dụng của ‘Colthimus 4Mg’
Co cơ gây đau do rối loạn chức năng hay tư thế của cột sống: đau thắt lưng, vẹo cổ, đau quanh vai; sau khi mổ (thoát vị đĩa đệm, hay viêm xương khớp háng). 
Co cứng do rối loạn thần kinh: xơ cứng rải rác, bệnh tủy sống mãn tính, bệnh thoái hóa cột sống, tai biến mạch máu não, chấn thương sọ não hoặc bại não.";1;1;1
Tramadol 37,5mg paracetamol 325mg Poltrapa;Poltrapa;Tramadol 37,5mg paracetamol 325mg;"Tác dụng
Paracetamol có tác dụng hạ sốt, giảm đau nhưng không kháng viêm. Theo Aronoff và các cộng sự (2009), paracetamol ức chế phản ứng peroxidase, tuy nhiên tác dụng ức chế bị vượt qua khi nồng độ Lipid Hydroperoxides (HETEs) quá cao được sản xuất bởi bạch cầu và tiểu cầu đã được hoạt hóa, điều này ngăn chặn paracetamol làm giảm phản ứng viêm. Nhưng nhờ nồng độ HETEs tương đối thấp trong các tế bào nội mô mạch máu và tế bào thần kinh, paracetamol có thể gây ra tác dụng hạ sốt và giảm đau bằng cách ngăn chặn sự sản xuất của các prostaglandin (PGs) ở những vị trí này.
Tramadol là một thuốc giảm đau thuộc nhóm Opioids (morphin cũng thuộc nhóm này). Thuốc có hai cơ chế giảm đau: Thứ nhất là nó liên kết với các thụ thể opioid (cơ chế chung của opioids), thứ hai là nó ức chế sự tái thu hồi serotonin và norepinephrin (noradrenalin). Trong cơ thể nó được chuyển thành O-desmethyltramadol, là một opioid có tác dụng mạnh hơn.
Trên động vật thí nghiệm, phối hợp paracetamol với tramadol cho thấy tác dụng hiệp đồng.
Công dụng – Chỉ định
Thuốc Poltrapa có công dụng giảm các triệu chứng đau từ trung bình đến nặng, hạ sốt.
Thuốc Poltrapa được chỉ định trong các trường hợp: đau răng, đau họng, đau đầu, đau khớp, đau cơ…
Cách dùng – Liều dùng
Cách dùng
Dạng dùng là viên nén bao phim.
Liều dùng
Người lớn và trẻ > 12 tuổi: Uống 2 viên mỗi 4-6 giờ, không quá 8 viên/ngày.
Thời gian điều trị: 5 ngày hoặc ít hơn.
Hạn chế sử dụng do nguy cơ nghiện, lạm dụng opioid, ngay cả ở liều khuyến cáo. Chỉ nên sử dụng ở những bệnh nhân mà lựa chọn thay thế (giảm đau không opioid) không dung nạp được hoặc không được cung cấp đầy đủ.
Chỉnh liều ở bệnh nhân suy thận:
Nếu CrCl < 30ml/ph thì dùng không quá 2 viên mỗi 12 giờ.
Bệnh nhân suy gan không nên dùng thuốc.
Tác dụng phụ
Thường gặp (1-10%): lo lắng, chán ăn, đau bụng, khô miệng, tiêu chảy, táo bón, đầy hơi, khó tiêu, buồn nôn, nôn, suy nhược, mệt mỏi, mất ngủ, đau đầu, chóng mặt, nhầm lẫn, hưng phấn, buồn ngủ, phát ban, đổ mồ hôi.
Ít gặp (< 1%): chức năng gan bất thường, suy nghĩ bất thường, tầm nhìn bất thường, nặng thêm tăng huyết áp, đau nửa đầu, thiểu niệu, albumin niệu, bí tiểu, mất trí nhớ, thiếu máu, loạn nhịp tim, nhịp tim nhanh, đau ngực, đánh trống ngực, mất điều hòa, dị cảm, co giật, tri giác sai thực tại, trầm cảm, lạm dụng thuốc, khó nuốt, rối loạn cảm xúc, huyết áp thấp, ngất do tụt huyết áp, co thắt cơ bắp không chủ ý, bất lực, đại tiện ra máu đen, rối loạn tiểu tiện, ác mộng, rùng mình, choáng váng, ù tai, phù lưỡi, sút cân, hội chứng cai.
Không xác định được tỉ lệ: Phản ứng dị ứng (mày đay, sốc phản vệ, hội chứng Stevens-Johnson/TENS), rối loạn chức năng nhận thức, khó tập trung, xuất huyết tiêu hóa.
Tham khảo ý kiến bác sĩ nếu gặp bất kì tác dụng không mong muốn nào.
Chống chỉ định
Quá mẫn cảm với bất cứ thành phần nào của thuốc.
Giảm đau sau phẫu thuật hoặc sau sinh.
Ngộ độc cấp tính với rượu, ma túy, thuốc ngủ, thuốc phiện, thuốc giảm đau tác dụng trung tâm hoặc các loại thuốc hướng thần khác.
Trẻ < 12 tuổi.
Xử trí sau cắt amidan ở trẻ < 18 tuổi.
Suy hô hấp đáng kể.
Nghi ngờ tắc nghẽn đường tiêu hóa (bao gồm cả liệt ruột).
Sử dụng đồng thời với các IMAOs (thuốc ức chế các monoamin oxydase sinh học) hoặc sử dụng IMAOs trong 14 ngày qua.";1;1;1
Moxifloxacin vigamox 0,5% 5ml;Vigamox;Moxifloxacin 0,5%;"Công dụng (Chỉ định)
Dung dịch nhỏ mắt VIGAMOX được chỉ định trong điều trị viêm kết mạc do vi khuẩn
Liều dùng
Chỉ dùng để nhỏ mắt. Không được tiêm. Không được tiêm dung dịch nhỏ mắt VIGAMOX dưới kết mạc, và cũng không được đưa thuốc trực tiếp vào tiền phòng của mắt.
Sử dụng ở người lớn, kể cả người cao tuổi
Nhỏ 1 giọt vào mắt bị viêm 3 lần/ngày, dùng thuốc trong 7 ngày. Tình trạng viêm thường được cải thiện sau 5 ngày, cần tiếp tục điều trị trong 2 - 3 ngày nữa. Nếu tình trạng viêm không được cải thiện sau 5 ngày điều trị, nên xem xét lại việc chẩn đoán và/hoặc điều trị.
Sử dụng ở trẻ em
Không cần hiệu chỉnh liều.
Sử dụng ở người suy gan và suy thận
Không cần hiệu chỉnh liều.
Cách dùng
Để tránh tạp nhiễm vào đầu lọ nhỏ thuốc, không được để đầu nhỏ thuốc tiếp xúc với mí mắt, vùng xung quanh mắt hoặc bất cứ vật nào.";1;1;1
